id,name,types,height,weight,color,habitat,shape,generation,evolution_chain
1,bulbasaur,"['grass', 'poison']",7,69,green,grassland,quadruped,generation-i,"{'evolution_details': [], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 16, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 32, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'venusaur', 'url': 'https://pokeapi.co/api/v2/pokemon-species/3/'}}], 'is_baby': False, 'species': {'name': 'ivysaur', 'url': 'https://pokeapi.co/api/v2/pokemon-species/2/'}}], 'is_baby': False, 'species': {'name': 'bulbasaur', 'url': 'https://pokeapi.co/api/v2/pokemon-species/1/'}}"
2,ivysaur,"['grass', 'poison']",10,130,green,grassland,quadruped,generation-i,"{'evolution_details': [], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 16, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 32, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'venusaur', 'url': 'https://pokeapi.co/api/v2/pokemon-species/3/'}}], 'is_baby': False, 'species': {'name': 'ivysaur', 'url': 'https://pokeapi.co/api/v2/pokemon-species/2/'}}], 'is_baby': False, 'species': {'name': 'bulbasaur', 'url': 'https://pokeapi.co/api/v2/pokemon-species/1/'}}"
3,venusaur,"['grass', 'poison']",20,1000,green,grassland,quadruped,generation-i,"{'evolution_details': [], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 16, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 32, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'venusaur', 'url': 'https://pokeapi.co/api/v2/pokemon-species/3/'}}], 'is_baby': False, 'species': {'name': 'ivysaur', 'url': 'https://pokeapi.co/api/v2/pokemon-species/2/'}}], 'is_baby': False, 'species': {'name': 'bulbasaur', 'url': 'https://pokeapi.co/api/v2/pokemon-species/1/'}}"
4,charmander,['fire'],6,85,red,mountain,upright,generation-i,"{'evolution_details': [], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 16, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 36, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'charizard', 'url': 'https://pokeapi.co/api/v2/pokemon-species/6/'}}], 'is_baby': False, 'species': {'name': 'charmeleon', 'url': 'https://pokeapi.co/api/v2/pokemon-species/5/'}}], 'is_baby': False, 'species': {'name': 'charmander', 'url': 'https://pokeapi.co/api/v2/pokemon-species/4/'}}"
5,charmeleon,['fire'],11,190,red,mountain,upright,generation-i,"{'evolution_details': [], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 16, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 36, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'charizard', 'url': 'https://pokeapi.co/api/v2/pokemon-species/6/'}}], 'is_baby': False, 'species': {'name': 'charmeleon', 'url': 'https://pokeapi.co/api/v2/pokemon-species/5/'}}], 'is_baby': False, 'species': {'name': 'charmander', 'url': 'https://pokeapi.co/api/v2/pokemon-species/4/'}}"
6,charizard,"['fire', 'flying']",17,905,red,mountain,upright,generation-i,"{'evolution_details': [], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 16, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 36, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'charizard', 'url': 'https://pokeapi.co/api/v2/pokemon-species/6/'}}], 'is_baby': False, 'species': {'name': 'charmeleon', 'url': 'https://pokeapi.co/api/v2/pokemon-species/5/'}}], 'is_baby': False, 'species': {'name': 'charmander', 'url': 'https://pokeapi.co/api/v2/pokemon-species/4/'}}"
7,squirtle,['water'],5,90,blue,waters-edge,upright,generation-i,"{'evolution_details': [], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 16, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 36, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'blastoise', 'url': 'https://pokeapi.co/api/v2/pokemon-species/9/'}}], 'is_baby': False, 'species': {'name': 'wartortle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/8/'}}], 'is_baby': False, 'species': {'name': 'squirtle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/7/'}}"
8,wartortle,['water'],10,225,blue,waters-edge,upright,generation-i,"{'evolution_details': [], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 16, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 36, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'blastoise', 'url': 'https://pokeapi.co/api/v2/pokemon-species/9/'}}], 'is_baby': False, 'species': {'name': 'wartortle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/8/'}}], 'is_baby': False, 'species': {'name': 'squirtle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/7/'}}"
9,blastoise,['water'],16,855,blue,waters-edge,upright,generation-i,"{'evolution_details': [], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 16, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 36, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'blastoise', 'url': 'https://pokeapi.co/api/v2/pokemon-species/9/'}}], 'is_baby': False, 'species': {'name': 'wartortle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/8/'}}], 'is_baby': False, 'species': {'name': 'squirtle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/7/'}}"
10,caterpie,['bug'],3,29,green,forest,armor,generation-i,"{'evolution_details': [], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 7, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [{'evolution_details': [{'base_form': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_damage_taken': None, 'min_happiness': None, 'min_level': 10, 'min_move_count': None, 'min_steps': None, 'needs_multiplayer': False, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False, 'used_move': None}], 'evolves_to': [], 'is_baby': False, 'species': {'name': 'butterfree', 'url': 'https://pokeapi.co/api/v2/pokemon-species/12/'}}], 'is_baby': False, 'species': {'name': 'metapod', 'url': 'https://pokeapi.co/api/v2/pokemon-species/11/'}}], 'is_baby': False, 'species': {'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}}"
